"","AAPL","MSFT","YHOO"
"595",17.07,19.75,14.52
"596",17.56,20.06,14.76
"597",17.49,20.22,14.91
"598",18.09,20.6,15.17
"599",18.21,20.31,15.18
"600",17.98,20.38,14.96
"601",17.74,19.82,14.87
"602",17.5,19.75,14.98
"603",18.68,20.34,15.28
"604",19.01,20.13,14.94
"605",19.3,20.45,15.09
"606",19.4,20.89,15.84
"607",19.91,21.4,16.58
"608",19.93,21.4,16.62
"609",20.14,21.73,16.3
"610",20.53,21.83,16.65
"611",20.67,22.14,16.64
"612",20.55,22.05,16.19
"613",20.39,22.08,16.4
"614",20.04,22.55,16.32
"615",19.99,22.83,16.19
"616",19.57,23.33,16.4
"617",19.44,23.42,16.4
"618",19.48,23.45,15.96
"619",19.37,23.68,15.6
"620",19.41,23.5,15.34
"621",19.93,24.07,15.8
"622",19.62,23.28,14.71
"623",19.14,23.34,14.68
"624",19.46,23.47,15.45
"625",19.98,23.79,15.53
"626",20.35,23.35,15.74
"627",20.28,23.86,15.9
"628",20.35,23.77,15.66
"629",20.4,24.04,15.41
"630",20,23.37,14.99
"631",19.8,23.2,14.91
"632",19.34,22.53,14.44
"633",19.6,22.56,14.38
"634",19.48,22.44,14.55
"635",19.79,22.39,14.93
"636",20.33,23.23,15.01
"637",20.32,23.11,15.18
"638",20.98,24.12,15.71
"639",21.07,24.44,16.19
"640",21.68,24.29,16.84
"641",21.84,24.53,17.01
"642",21.64,24.83,16.75
"643",22.39,24.8,17.37
"644",22.55,25.56,17.36
"645",22.86,23.45,17.48
"646",22.87,23.11,17
"647",22.86,23.47,17.22
"648",22.86,23.8,15.14
"649",23.26,23.81,14.6
"650",23.34,23.52,14.32
"651",23.78,23.83,14.34
"652",23.65,23.77,14.51
"653",23.59,23.81,14.67
"654",23.42,23.46,14.74
"655",23.64,23.56,14.62
"656",23.53,23.42,14.63
"657",23.26,23.13,14.46
"658",23.62,23.53,14.68
"659",24.06,23.62,15.04
"660",23.83,23.69,15.04
"661",22.8,23.25,14.56
"662",23.43,23.58,14.75
"663",23.51,23.65,14.79
"664",23.76,23.67,14.77
"665",24.17,24.41,14.79
"666",24.15,24.64,14.99
"667",24.2,24.64,15.07
"668",23.92,24.55,14.93
"669",24.21,24.69,14.93
"670",24.29,24.68,14.85
"671",24.03,24.65,14.61
"672",23.61,24,14.18
"673",23.6,23.86,14.23
"674",23.79,24.11,14.28
"675",24.33,24.62,14.5
"676",24.7,24.82,14.49
"677",24.45,24.78,14.78
"678",24.65,25,15.45
"679",24.59,24.86,15.59
"680",24.82,25,15.57
"681",25.02,25.2,16.41
"682",25.98,25.2,16.99
"683",26.36,25.3,17.5
"684",26.43,25.26,17.39
"685",26.29,25.3,17.04
"686",26.35,25.77,16.86
"687",26.5,25.71,17.21
"688",26.26,25.94,16.89
"689",26.05,25.55,17.08
"690",26.59,25.83,17.47
"691",26.48,25.75,17.45
"692",26.48,25.72,17.81
"693",25.84,24.88,17.39
"694",26.41,24.96,16.84
"695",26.57,24.64,16.8
"696",27.14,25.11,17.3
"697",27.18,25.1,17.49
"698",27.04,25.67,17.58
"699",27.21,25.55,16.87
"700",27.26,25.72,16.75
"701",27.15,25.81,16.88
"702",27.33,25.96,16.95
"703",27.22,26.71,16.52
"704",26.86,26.5,16.81
"705",27.12,26.36,17.22
"706",28.39,26.37,17.17
"707",29.27,26.58,17.66
"708",29.31,26.59,17.67
"709",29.13,28.02,17.22
"710",28.93,28.68,16.87
"711",28.2,28.59,16.69
"712",27.49,28.02,16.04
"713",28.05,28.22,16.13
"714",26.93,27.73,15.9
"715",27.04,27.88,15.85
"716",26.96,27.53,15.7
"717",27.26,28.06,15.69
"718",27.72,28.47,15.9
"719",27.76,28.52,15.94
"720",28.78,28.99,16.02
"721",29,29.01,16.04
"722",29.04,29.12,16.09
"723",28.86,29.36,16
"724",29.21,29.63,15.93
"725",29.52,29.54,16.07
"726",29.57,30,16.05
"727",29.42,30.11,15.98
"728",28.64,29.78,15.61
"729",28.56,29.62,15.38
"730",29.41,29.94,15.45
"731",29.21,29.91,15.24
"732",29.17,29.79,15.3
"733",28.66,29.22,15
"734",28.56,29.41,14.97
"735",28.14,30.01,15.13
"736",28.03,29.78,15.31
"737",28.07,29.83,15.11
"738",27.62,29.98,15.19
"739",26.99,29.79,15.45
"740",27.12,29.57,15.45
"741",28.26,29.71,15.18
"742",28.06,29.87,15.49
"743",27.81,29.85,15.74
"744",28.14,30.11,15.81
"745",27.74,30.02,15.74
"746",27.86,30.1,15.79
"747",27.41,29.6,15.82
"748",27.92,30.36,16.14
"749",28.32,30.52,15.88
"750",28.62,30.82,15.98
"751",28.87,30.92,16.67
"752",29.86,31,16.72
"753",30.23,31.17,16.88
"754",29.87,31.39,16.92
"755",30.23,30.96,16.98
"756",30.1,30.48,16.78
"757",30.57,30.95,17.1
"758",30.63,30.96,17.23
"759",30.14,30.77,17.17
"760",30.08,30.45,16.7
"761",30.28,30.66,16.7
"762",30.02,30.27,16.74
"763",29.67,30.07,16.68
"764",30.09,30.35,16.9
"765",29.92,30.96,17.12
"766",29.42,30.86,16.82
"767",30.72,31.1,16.75
"768",30.25,30.58,16.38
"769",29.72,30.01,16.2
"770",28.25,28.96,15.88
"771",29.01,29.32,15.86
"772",29.42,29.5,15.99
"773",29.7,29.67,15.98
"774",28.47,29.16,15.44
"775",27.44,28.18,15.01
"776",27.82,28.41,15.05
"777",27.98,28.46,15.17
"778",28.46,28.63,15.46
"779",27.44,27.84,15.01
"780",27.92,28.02,15.19
"781",27.73,27.72,14.99
"782",28.03,28.01,15.07
"783",27.87,27.99,14.8
"784",28.38,28.12,15.22
"785",28.63,27.93,15.17
"786",29.06,28.35,15.41
"787",28.94,28.59,15.44
"788",28.99,28.97,15.54
"789",28.81,28.77,15.58
"790",28.63,28.73,15.49
"791",28.15,28.33,15.38
"792",28.66,28.63,15.59
"793",28.86,28.6,15.24
"794",29.23,28.67,15.31
"795",29.86,29.02,15.79
"796",29.84,28.46,15.73
"797",29.9,28.46,15.57
"798",30.1,28.63,15.81
"799",31.28,28.59,16.06
"800",31.3,28.63,16.52
"801",31.86,28.8,16.53
"802",32.12,28.97,16.79
"803",32.21,29.18,16.53
"804",32.37,29.27,16.32
"805",31.98,29.29,16.46
